genre_title,title,author,rating,views,status,categories,published_date_in_days,updated_time_in_days,latest_chapter_number
Tiên Hiệp,Sau Khi Xuyên Thành Đại Nội Tổng Quản Ta Mang Thai Con Của Nhiếp Chính Vương,Lâm Bất Hoan,7.8,1000,Đang ra,"Cổ Đại, Đam Mỹ, Truyện Khác, Huyền huyễn",5,5,5
Tiên Hiệp,Đông Xưởng Cần Nhân Tài Như Ngươi,Vụ Thập,7.1,1000,Đang ra,"Cổ Đại, Hài Hước, Đam Mỹ, Huyền huyễn",5,5,5
Tiên Hiệp,Thập Niên 80 Quân Hôn Bảo Bối Của Đại Lão Tàn Tật,Thiên Thiên Phát Tài Tiểu Pháo Trúc,7.1,1000,Đang ra,"Truyện Nữ Cường, Hài Hước, Trọng Sinh, Ngôn Tình",5,5,50
Tiên Hiệp,Xuyên Không Tôi Trở Thành Quản Lí Vàng Trong Làng Showbiz FULL,Thiên Thiên Đế,7.5,1000,Full,"Dị Năng, Truyện Nữ Cường, Hài Hước, Ngôn Tình, Xuyên Không, Mạt Thế",4,4,555
Tiên Hiệp,Sau Khi Có Con Ngoài Ý Muốn Với Thái Tử Địch Quốc FULL,Nhược Lan Chi Hoa,7.4,1000,Full,"Cổ Đại, Đam Mỹ",4,4,153
Tiên Hiệp,Phi Chức Nghiệp Bán Tiên FULL,Lạp Miên Hoa Đường Đích Thố Tử,7.6,1000,Full,"Dị Năng, Linh Dị, Đam Mỹ, Huyền huyễn",4,4,113
Tiên Hiệp,Hành Trình Tây Du Với Các Đồ Đệ Đáng Yêu,Tam Thập Nhị Biến,7.4,1000,Đang ra,"Dị Năng, Truyện Nữ Cường, Đô Thị, Linh Dị, Truyện Teen, Ngôn Tình, Truyện Khác, Thám Hiểm, Võng Du, Huyền huyễn",3,3,32
Tiên Hiệp,Phòng 806 Trọng Sinh Ôm Hàng Mạt Thế,Mạch Tiểu Mãn,7.9,1000,Đang ra,"Trọng Sinh, Mạt Thế",4,4,5
Tiên Hiệp,Trở Thành Tang Thi Mang Thai Trong Sách,Chước Nhiễm,7.8,1000,Đang ra,"Đam Mỹ, Truyện Khác, Truyện Sủng, Mạt Thế",4,4,15
Tiên Hiệp,Mẹ Hợp Đồng Lại Bỏ Trốn,Tịch Nhật Phi Hạ,7.8,1000,Đang ra,"Truyện Nữ Cường, Đô Thị",4,4,5
Tiên Hiệp,Lỡ Phải Lòng Đứa Con Nuôi Rồi Phải Làm Sao!,Valeni,7.8,1000,Đang ra,"Đô Thị, Truyện Teen, Ngôn Tình, Truyện Khác",4,4,6
Tiên Hiệp,Liễu Niệm Từ,Tếu Tếu,7.2,1000,Đang ra,Dị Giới,3,3,10
Tiên Hiệp,Thập Niên 70 Nhật Ký Mỹ Thực Ở Nông Thôn,Tố Tố Long,7.0,1000,Đang ra,"Hài Hước, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Xuyên Không, Truyện Sủng",4,4,5
Tiên Hiệp,Tn60 Cô Gái Nhỏ Mũm Mĩm Gả Cho Anh Chàng Khập Khiễng Rồi Sinh Ba Đứa Con,Trình Tiểu Mạch,7.1,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Ngôn Tình, Huyền huyễn",3,3,50
Tiên Hiệp,Kế Thừa Phòng An Toàn Trong Trò Chơi Vô Hạn,Miêu Sao Phạn,7.4,1000,Đang ra,"Đam Mỹ, Võng Du, Huyền huyễn",2,2,78
Tiên Hiệp,Phi Thường Quan Hệ - Minh Dã FULL,Minh Dã,7.0,1000,Full,Bách Hợp,2,2,66
Tiên Hiệp,Thập Niên 70 Gia Đình Và Sự Nghiệp Của Tôi,Thủy Ba 1984,7.5,1000,Đang ra,Điền Văn,2,2,6
Tiên Hiệp,Trảm Yêu - Ma Lạt Bạch Thái,Ma Lạt Bạch Thái,7.4,1000,Đang ra,Kiếm Hiệp,2,2,50
Tiên Hiệp,A Thiền - Đinh Mặc FULL,Đinh Mặc,7.7,1000,Full,"Hài Hước, Ngôn Tình, Xuyên Không",2,2,156
Tiên Hiệp,Ngự Tỷ Giang Hồ FULL,Trữ viễn,7.3,1000,Full,Bách Hợp,2,2,103
Tiên Hiệp,Dạ Tâm,Nhật Nguyệt Độc Hành,7.5,1000,Đang ra,"Truyện Nữ Cường, Ngôn Tình, Truyện Khác",2,2,21
Tiên Hiệp,Sau Khi Chia Tay Tiểu Thư Giàu Có,Nhất chỉ hoa giáp tử,7.6,1000,Đang ra,Bách Hợp,1,1,88
Tiên Hiệp,Xuyên Thành Nữ Phụ Mạt Thế Mỗi Ngày Đều Bị Nam Chính Trêu Chọc Đến Đỏ Mặt Tim Đập FULL,Ngã Tâm Tự Do,7.2,1000,Full,"Dị Năng, Ngôn Tình, Xuyên Không, Truyện Sủng, Mạt Thế",2,2,64
Tiên Hiệp,Trải Qua Bao Thăng Trầm,Cửu Đâu Tinh,7.7,1000,Đang ra,"Truyện Ngược, Ngôn Tình, Truyện Sủng",1,1,81
Tiên Hiệp,Tổng Tài Sợ Vợ,Hoa Liễm Ngọc,7.7,1000,Đang ra,"Truyện Nữ Cường, Ngôn Tình",2,2,22
Tiên Hiệp,Hệ Thống Nuôi Dưỡng Thư Ký,Khinh Hầu,7.2,1000,Đang ra,"Hài Hước, Điền Văn, Đô Thị, Ngôn Tình, Truyện Khác, Truyện Sủng, Huyền huyễn",1,1,5
Tiên Hiệp,Xuyên Nhanh Sau Khi Bị Đại Lão Cố Chấp Coi Trọng FULL,Nghiên Đông,7.7,1000,Full,"Đam Mỹ, Truyện Khác",1,1,56
Tiên Hiệp,Lảng Tránh Ái Muội FULL,Đông Nhật Giải Phẫu,7.7,1000,Full,Bách Hợp,1,1,138
Tiên Hiệp,Bạn Thân Là Trà Xanh! Ta Phải Làm Sao Đây,Chư Cát Hàm Ngư,7.4,1000,Đang ra,"Dị Năng, Truyện Nữ Cường, Hài Hước, Đô Thị, Ngôn Tình, Nữ Phụ, Truyện Khác, Truyện Sủng, Truyện Gia Đấu, Light Novel, Huyền huyễn",1,1,6
Tiên Hiệp,Hoạ Sĩ Vĩ Đại Tái Sinh,Khinh Hầu,7.3,1000,Đang ra,"Hài Hước, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Truyện Sủng",1,1,5
Tiên Hiệp,Có Một Bầu Trời Có Một Tia Nắng,Hoàng Trần Minh Ngọc,7.4,1000,Đang ra,Ngôn Tình,1,1,22
Tiên Hiệp,Bổn Vương Phi Cậy Sủng Mà Kiêu,Công tử trầm song,7.6,1000,Đang ra,"Cổ Đại, Trọng Sinh, Ngôn Tình, Truyện Khác, Truyện Sủng",1,1,5
Tiên Hiệp,Tướng Quân Đích Thê Xuyên Không,Jingye Shi,7.6,1000,Đang ra,"Dị Năng, Truyện Nữ Cường, Cổ Đại, Hài Hước, Truyện Khác, Xuyên Không, Truyện Sủng, Truyện Gia Đấu",1,1,14
Tiên Hiệp,Trọng Sinh Thừa Kế Gia Sản Nghìn Tỷ Báo Thù,Than Thiết Toan Nhân Xào Mật Nhân,7.6,1000,Đang ra,"Truyện Nữ Cường, Trọng Sinh, Ngôn Tình, Truyện Gia Đấu",1,1,50
Tiên Hiệp,Luân Hồi Lạc Viên Khắp Nơi Đều Có Phân Thân,Nhị Lưỡng,7.8,1000,Đang ra,Truyện Khác,1,1,50
Tiên Hiệp,Xuyên Thành Nông Phụ Cực Phẩm Cực Phẩm Trị Cực Phẩm,Thụ Thượng Đích Hàm Ngư Bính Càn,7.7,1000,Đang ra,"Lịch Sử, Truyện Nữ Cường, Cổ Đại, Hài Hước, Điền Văn, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng, Truyện Gia Đấu",1,1,13
Tiên Hiệp,Thiên Kim Mở Sạp Xem Bói Hằng Ngày,Lâm Uyên Tạc Ngư,7.3,1000,Đang ra,"Điền Văn, Đô Thị, Linh Dị, Ngôn Tình, Xuyên Không, Truyện Sủng, Huyền huyễn",1,1,5
Tiên Hiệp,Tn70 Xuyên Thành Cô Gái Nhỏ Đáng Thương Tôi Cưới Thiếu Gia Đại Viện,Ba Ba Ngốc Mao,7.4,1000,Đang ra,"Truyện Nữ Cường, Đô Thị, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng",1,1,50
Tiên Hiệp,Thập Niên 60 Cô Cảnh Sát Nhỏ Thích Hóng Hớt,Hương Tô Lật,7.8,1000,Đang ra,"Truyện Nữ Cường, Hài Hước, Điền Văn, Ngôn Tình, Truyện Khác",1,1,7
Tiên Hiệp,Thập Niên 90 Hương Giang Thành Thần Toán Nhờ Hệ Thống Ăn Dưa,Mộc Mộc Miêu,7.5,1000,Đang ra,"Điền Văn, Đô Thị, Ngôn Tình, Xuyên Không, Truyện Sủng, Huyền huyễn",1,1,5
Tiên Hiệp,Mỹ Nhân Tuyệt Sắc Được Các Đại Lão Sủng Nhập Hoài,Hoa Biến Trủng,7.6,1000,Đang ra,"Cổ Đại, Điền Văn, Ngôn Tình, Quan Trường, Truyện Khác, Truyện Sủng, Truyện Cung Đấu, Truyện Gia Đấu",4,4,27
Tiên Hiệp,Mỹ Thực Chị Đẹp Dẹp Gọn Đất Hoang,Ái Tránh Tiền Đích Chanh Tử,7.2,1000,Đang ra,"Dị Năng, Truyện Nữ Cường, Hài Hước, Đô Thị, Trọng Sinh, Ngôn Tình, Nữ Phụ, Khoa Huyễn, Xuyên Không, Truyện Sủng, Mạt Thế, Huyền huyễn",4,4,5
Tiên Hiệp,Thập Niên 80 Em Chồng Trọng Sinh Làm Tinh Ta Ly Hôn Lấy Lại Của Hồi Môn,Nhĩ Tri Nhã Ý,7.3,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Nữ Phụ, Truyện Khác, Xuyên Không, Truyện Gia Đấu, Đông Phương",1,1,9
Tiên Hiệp,Thập Niên 70 Sau Khi Bị Rơi Xuống Nước Được Thanh Niên Trí Thức Giàu Có Nhất Đưa Về Nhà,Diệp Nịnh Manh,7.9,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Xuyên Không",1,1,50
Tiên Hiệp,Thập Niên 80 Mang Theo Không Gian Làm Hãn Thê Có Chút Ngọt,Ngư Thất Tửu,7.9,1000,Đang ra,"Truyện Nữ Cường, Trọng Sinh, Ngôn Tình",1,1,50
Tiên Hiệp,Sau Khi Bị Thú Nhân Câm Điếc Nhặt Về Nhà,Mộc Mộc Tiểu Thảo,7.5,1000,Đang ra,"Dị Năng, Cổ Đại, Điền Văn, Ngôn Tình, Dị Giới, Truyện Khác, Xuyên Không, Truyện Sủng, Huyền huyễn",4,4,25
Tiên Hiệp,Kiếp Lụa Đào,SEN,7.0,1000,Đang ra,"Cổ Đại, Ngôn Tình, Việt Nam, Truyện Gia Đấu",4,4,9
Tiên Hiệp,Mang Theo Hệ Thống Trinh Thám Xuyên Qua Võ Hiệp,Thiên Trạch Thời Nhược,7.3,1000,Đang ra,"Truyện Nữ Cường, Cổ Đại, Trinh Thám, Điền Văn, Ngôn Tình, Huyền huyễn",3,3,5
Tiên Hiệp,Chỉ Nam Không Ăn Cơm Mềm,Điêu Bảo  rghh,7.1,1000,Đang ra,"Truyện Ngược, Cổ Đại, Đô Thị, Trọng Sinh, Đam Mỹ, Xuyên Không, Mạt Thế, Huyền huyễn",3,3,5
Tiên Hiệp,Bát Đao Hành,Trương Lão Tây,7.2,1000,Đang ra,"Linh Dị, Tiên Hiệp, Xuyên Không, Đông Phương, Huyền huyễn",3,3,50
Tiên Hiệp,Thiên Kim Thật Sự Thập Niên 80 Ba Ngày Sau Ly Hôn Khó Đấy!,hâm Thâm Như Nhất,7.9,1000,Đang ra,"Đô Thị, Trọng Sinh, Ngôn Tình",4,4,9
Tiên Hiệp,Sao Hôm Nay Nữ Chính Lạ Vậy,HoaHaiLang0910,7.5,1000,Đang ra,"Nữ Phụ, Truyện Khác, Bách Hợp",3,3,20
Tiên Hiệp,Chỉ Ngốc Một Lần,Thẩm Hạ,7.5,1000,Đang ra,"Trọng Sinh, Đam Mỹ",3,3,20
Tiên Hiệp,Tôi Ở Trong Trò Chơi Toàn Cầu Trồng Cây Làm Ruộng,Vong Ngư Ngư,7.4,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Ngôn Tình, Khoa Huyễn, Xuyên Không, Mạt Thế, Võng Du, Huyền huyễn",3,3,17
Tiên Hiệp,Quân Hôn 70 Sau Khi Bị Nghe Thấy Tiếng Lòng Tôi Trở Thành Bảo Bối Trong Lòng Bàn Tay,Gia Gia Nha,7.1,1000,Đang ra,"Hài Hước, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng",3,3,12
Tiên Hiệp,Sau Khi Xuyên Thư Tôi Trở Thành Bảo Bối Nhà Hào Môn FULL,Lang Không Nhất Sắc,7.1,1000,Full,"Đam Mỹ, Xuyên Không",4,4,68
Tiên Hiệp,Xuyên Qua Chi Nữ Tắc FULL,Bồng Lai Khách,7.7,1000,Full,"Truyện Nữ Cường, Cổ Đại, Trọng Sinh, Ngôn Tình, Xuyên Không",4,4,79
Tiên Hiệp,Hoàng Hôn Ngọt Ngào Của Anh FULL,VyVy1905,7.5,1000,Full,Ngôn Tình,4,4,157
Tiên Hiệp,Xuyên Sách Thành Pháo Hôi Chống Lại Mệnh Xui Xẻo FULL,Thiên Tân Tài Năng,7.9,1000,Full,"Cổ Đại, Hài Hước, Ngôn Tình, Truyện Khác, Truyện Sủng, Truyện Gia Đấu",4,4,690
Tiên Hiệp,Cố Tiểu Tây FULL,Khuyết Danh,7.4,1000,Full,"Trọng Sinh, Ngôn Tình, Truyện Sủng",4,4,1150
Tiên Hiệp,7 Năm Sau Hòa Ly FULL,Qua Chi Chi,7.6,1000,Full,"Truyện Nữ Cường, Cổ Đại, Ngôn Tình",4,4,15
Tiên Hiệp,Tiêu Dao Đạo Chủ Đại Mộng Bá Thiên,Kiến Vương,7.8,1000,Đang ra,"Truyện Khác, Tiên Hiệp, Huyền huyễn",4,4,86
Tiên Hiệp,Mỹ Nhân Cá Mặn Bạo Hồng Ở Show Thiếu Nhi,Thủ Ước,7.0,1000,Đang ra,Đam Mỹ,4,4,126
Tiên Hiệp,Bay Về Phía Núi Của Cô Ấy FULL,Cá bơi mười bốn lục địa,7.2,1000,Full,"Truyện Nữ Cường, Đô Thị, Ngôn Tình",4,4,17
Tiên Hiệp,Hạ Nhiệt Nhận Ra Đã Yêu Em,Phạm Thị Hồng Đào,7.6,1000,Đang ra,"Truyện Ngược, Ngôn Tình",4,4,52
Tiên Hiệp,Cuộc Chơi Của Kẻ Tâm Thần FULL,Thập Linh Tam,7.2,1000,Full,"Truyện Nữ Cường, Đô Thị",0.5416666666666666,0.5416666666666666,25
Tiên Hiệp,Bị Nam Chính Điên Cuồng Cưỡng Ép Yêu FULL,Lâm Thính Thành,7.3,1000,Full,"Đô Thị, Đam Mỹ, Truyện Khác",0.5416666666666666,0.5416666666666666,48
Tiên Hiệp,Kết Hôn Rồi Mới Hôn,Tô Tiêu Miêu Miêu,7.7,1000,Đang ra,"Đô Thị, Ngôn Tình, Truyện Sủng",4,4,12
Tiên Hiệp,Giả Phượng Hư Hoàng FULL,Trúc Lâm Thâm Xứ,7.6,1000,Full,"Truyện Nữ Cường, Cổ Đại, Ngôn Tình",0.5416666666666666,0.5416666666666666,18
Tiên Hiệp,Ngạo Mạn Và Ôn Nhu FULL,Mộc Chước Tỷ Tỷ,7.8,1000,Full,"Đam Mỹ, Truyện Sủng",0.5416666666666666,0.5416666666666666,39
Tiên Hiệp,Quyết Tâm Bảo Vệ Em Gái Nữ Chính Trong Tiểu Thuyết Mary Sue,Lữ khách,7.9,1000,Đang ra,"Hài Hước, Đam Mỹ, Truyện Khác, Truyện Sủng",4,4,92
Tiên Hiệp,Trả Hết Tơ Hồng,Trịnh Thục Phương,7.2,1000,Đang ra,"Cổ Đại, Ngôn Tình, Truyện Sủng",0.5416666666666666,0.5416666666666666,22
Tiên Hiệp,Không Gian Tích Trữ Chục Tỷ Vật Tư Nằm Thắng Trong Thiên Tai,Chu Ẩn,7.6,1000,Đang ra,"Truyện Nữ Cường, Truyện Ngược, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng, Huyền huyễn",0.25,0.25,5
Tiên Hiệp,Tiếng Chuông Ngày Đông,Hắc K,7.8,1000,Đang ra,Truyện Teen,0.5416666666666666,0.5416666666666666,19
Tiên Hiệp,Ta Đệ Đệ Của Trụ Vương Kéo Đạo Tổ Vào Sự Nghiệp Của Mình,Vân Tiêu YX,7.3,1000,Đang ra,"Cổ Đại, Hài Hước, Điền Văn, Đam Mỹ, Truyện Khác, Tiên Hiệp, Xuyên Không, Truyện Sủng, Huyền huyễn",0.25,0.25,5
Tiên Hiệp,T2 Nam Thần Jg Đã “cưới” Tôi,Yokai Princess,7.5,1000,Đang ra,"Đam Mỹ, Truyện Sủng, Võng Du",0.5416666666666666,0.5416666666666666,20
Tiên Hiệp,Rượu Nho Xanh,An_Trần,7.5,1000,Đang ra,"Truyện Teen, Đam Mỹ, Truyện Sủng",0.5416666666666666,0.5416666666666666,20
Tiên Hiệp,Trọng Sinh Tám Mốt Đánh Cá Và Săn Bắt Tây Bắcdịch,Cơ Trung Mã,7.4,1000,Đang ra,"Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình",0.25,0.25,7
